INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_ID,TABLE_NO,TABLE_JAPAN_NAME,TABLE_ENGLISH_NAME,TIME_STOP_DELETE,HAS_PARENT_TBL_FLG,PARENT_TBL_NAME,PARENT_TBL_JP_NAME,FIELD_ACQ_DATE_TIME,FIELD_ACQ_END_DATE,FIELD_ACQ_EMPLOYEE_ID,FIELD_ACQ_START_DATE,FIELD_ACQ_CID,FIELD_PARENT_1,FIELD_PARENT_2,FIELD_PARENT_3,FIELD_PARENT_4,FIELD_PARENT_5,FIELD_PARENT_6,FIELD_PARENT_7,FIELD_PARENT_8,FIELD_PARENT_9,FIELD_PARENT_10,FIELD_CHILD_1,FIELD_CHILD_2,FIELD_CHILD_3,FIELD_CHILD_4,FIELD_CHILD_5,FIELD_CHILD_6,FIELD_CHILD_7,FIELD_CHILD_8,FIELD_CHILD_9,FIELD_CHILD_10,CLS_KEY_QUERY_1,CLS_KEY_QUERY_2,CLS_KEY_QUERY_3,CLS_KEY_QUERY_4,CLS_KEY_QUERY_5,CLS_KEY_QUERY_6,CLS_KEY_QUERY_7,CLS_KEY_QUERY_8,CLS_KEY_QUERY_9,CLS_KEY_QUERY_10,DEFAULT_COND_KEY_QUERY,FIELD_KEY_QUERY_1,FIELD_KEY_QUERY_2,FIELD_KEY_QUERY_3,FIELD_KEY_QUERY_4,FIELD_KEY_QUERY_5,FIELD_KEY_QUERY_6,FIELD_KEY_QUERY_7,FIELD_KEY_QUERY_8,FIELD_KEY_QUERY_9,FIELD_KEY_QUERY_10,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,FIELD_DATE_11,FIELD_DATE_12,FIELD_DATE_13,FIELD_DATE_14,FIELD_DATE_15,FIELD_DATE_16,FIELD_DATE_17,FIELD_DATE_18,FIELD_DATE_19,FIELD_DATE_20,FILED_KEY_UPDATE_1,FILED_KEY_UPDATE_2,FILED_KEY_UPDATE_3,FILED_KEY_UPDATE_4,FILED_KEY_UPDATE_5,FILED_KEY_UPDATE_6,FILED_KEY_UPDATE_7,FILED_KEY_UPDATE_8,FILED_KEY_UPDATE_9,FILED_KEY_UPDATE_10,FILED_KEY_UPDATE_11,FILED_KEY_UPDATE_12,FILED_KEY_UPDATE_13,FILED_KEY_UPDATE_14,FILED_KEY_UPDATE_15,FILED_KEY_UPDATE_16,FILED_KEY_UPDATE_17,FILED_KEY_UPDATE_18,FILED_KEY_UPDATE_19,FILED_KEY_UPDATE_20,HISTORY_CLS,SYSTEM_TYPE
,,,,,,,,0,"00503",26,"日別実績の備考","KRCDT_DAY_REMARKSCOLUMNS","300",0,,,"YMD",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","8",,,,,,,,,,"SID","YMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YMD","REMARKS_COLUMN_NO",,,,,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",1,"集計休出時間","KRCDT_WEK_AGGR_HDWK_TIME","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","HDWK_FRAME_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",2,"集計残業時間","KRCDT_WEK_AGGR_OVER_TIME","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","OVER_TIME_FRAME_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",3,"集計任意項目","KRCDT_WEK_ANYITEMVALUE","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","ITEM_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",4,"週別実績の勤怠時間","KRCDT_WEK_ATTENDANCE_TIME","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO",,,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",5,"期間別の時間外超過項目","KRCDT_WEK_TIME_OUTSIDE","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","BREAKDOWN_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",6,"回数集計","KRCDT_WEK_TIME_TOTALCOUNT","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","TOTAL_TIMES_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",7,"集計加給時間","KRCDT_WEK_TIME_BONUS_PAY","300","0",,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","BONUS_PAY_FRAME_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00504",8,"集計乖離時間","KRCDT_WEK_TIME_DVGC","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM","CLOSURE_ID","CLOSURE_DAY","IS_LAST_DAY","WEEK_NO","DVRGEN_TIME_NO",,,,,,,,,,,,,,0,1
,,,,,,,,0,"00507",1,"管理期間の36協定時間","KRCDT_36AGR_TIME","300",0,,,"YM",,"SID",,,,,,,,,,,,,,,,,,,,,,,"5","7",,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SID","YM",,,,,,,,,,,,,,,,,,,0,1
