INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,M_ATD_ITEM_ID,M_ATD_ITEM_NAME,DISP_NO,IS_ALLOW_CHANGE,LINE_BREAK_POS_NAME,M_ATD_ITEM_ATR,PRIMITIVE_VALUE,TWO_MONTHLY_DISPLAY,DISPLAY_NAME
,,,,,,,,0,"000000000000","000000000000-0000",1056,"特別休暇残日数付与後11",1006,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1059,"特別休暇残未消化日数11",1007,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1061,"特別休暇付与日数11",1008,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1062,"実特別休暇使用日数11",1015,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1063,"実特別休暇使用日数付与後11",1016,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1067,"実特別休暇残日数11",1017,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1068,"実特別休暇残日数付与後11",1018,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1071,"特別休暇使用日数12",1024,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1072,"特別休暇使用日数付与後12",1025,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1076,"特別休暇残日数12",1026,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1077,"特別休暇残日数付与後12",1027,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1080,"特別休暇残未消化日数12",1028,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1082,"特別休暇付与日数12",1029,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1083,"実特別休暇使用日数12",1036,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1084,"実特別休暇使用日数付与後12",1037,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1088,"実特別休暇残日数12",1038,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1089,"実特別休暇残日数付与後12",1039,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1092,"特別休暇使用日数13",1045,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1093,"特別休暇使用日数付与後13",1046,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1097,"特別休暇残日数13",1047,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1098,"特別休暇残日数付与後13",1048,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1101,"特別休暇残未消化日数13",1049,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1103,"特別休暇付与日数13",1050,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1104,"実特別休暇使用日数13",1057,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1105,"実特別休暇使用日数付与後13",1058,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1109,"実特別休暇残日数13",1059,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1110,"実特別休暇残日数付与後13",1060,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1113,"特別休暇使用日数14",1066,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1114,"特別休暇使用日数付与後14",1067,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1118,"特別休暇残日数14",1068,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1119,"特別休暇残日数付与後14",1069,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1122,"特別休暇残未消化日数14",1070,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1124,"特別休暇付与日数14",1071,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1125,"実特別休暇使用日数14",1078,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1126,"実特別休暇使用日数付与後14",1079,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1130,"実特別休暇残日数14",1080,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1131,"実特別休暇残日数付与後14",1081,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1134,"特別休暇使用日数15",1087,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1135,"特別休暇使用日数付与後15",1088,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1139,"特別休暇残日数15",1089,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1140,"特別休暇残日数付与後15",1090,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1143,"特別休暇残未消化日数15",1091,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1145,"特別休暇付与日数15",1092,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1146,"実特別休暇使用日数15",1099,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1147,"実特別休暇使用日数付与後15",1100,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1151,"実特別休暇残日数15",1101,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1152,"実特別休暇残日数付与後15",1102,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1155,"特別休暇使用日数16",1108,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1156,"特別休暇使用日数付与後16",1109,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1160,"特別休暇残日数16",1110,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1161,"特別休暇残日数付与後16",1111,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1164,"特別休暇残未消化日数16",1112,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1166,"特別休暇付与日数16",1113,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1167,"実特別休暇使用日数16",1120,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1168,"実特別休暇使用日数付与後16",1121,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1172,"実特別休暇残日数16",1122,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1173,"実特別休暇残日数付与後16",1123,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1176,"特別休暇使用日数17",1129,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1177,"特別休暇使用日数付与後17",1130,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1181,"特別休暇残日数17",1131,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1182,"特別休暇残日数付与後17",1132,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1185,"特別休暇残未消化日数17",1133,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1187,"特別休暇付与日数17",1134,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1188,"実特別休暇使用日数17",1141,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1189,"実特別休暇使用日数付与後17",1142,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1193,"実特別休暇残日数17",1143,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1194,"実特別休暇残日数付与後17",1144,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1197,"特別休暇使用日数18",1150,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1198,"特別休暇使用日数付与後18",1151,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1202,"特別休暇残日数18",1152,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1203,"特別休暇残日数付与後18",1153,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1206,"特別休暇残未消化日数18",1154,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1208,"特別休暇付与日数18",1155,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1209,"実特別休暇使用日数18",1162,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1210,"実特別休暇使用日数付与後18",1163,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1214,"実特別休暇残日数18",1164,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1215,"実特別休暇残日数付与後18",1165,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1218,"特別休暇使用日数19",1171,1,0,3,45,3,"{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1219,"特別休暇使用日数付与後19",1172,1,0,3,45,3,"{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1223,"特別休暇残日数19",1173,1,0,3,41,2,"{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1224,"特別休暇残日数付与後19",1174,1,0,3,41,2,"{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1227,"特別休暇残未消化日数19",1175,1,0,3,45,3,"{0}残未消化日数"
,,,,,,,,0,"000000000000","000000000000-0000",1229,"特別休暇付与日数19",1176,1,0,3,42,3,"{0}付与日数"
,,,,,,,,0,"000000000000","000000000000-0000",1230,"実特別休暇使用日数19",1183,0,0,3,45,3,"実{0}使用日数"
,,,,,,,,0,"000000000000","000000000000-0000",1231,"実特別休暇使用日数付与後19",1184,0,0,3,45,3,"実{0}使用日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1235,"実特別休暇残日数19",1185,0,0,3,41,2,"実{0}残日数"
,,,,,,,,0,"000000000000","000000000000-0000",1236,"実特別休暇残日数付与後19",1186,0,0,3,41,2,"実{0}残日数付与後"
,,,,,,,,0,"000000000000","000000000000-0000",1239,"特別休暇使用日数20",1192,1,0,3,45,3,"{0}使用日数"
