INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCEITEM_ID,SCREEN_USE_ATR,ATTENDANCEITEM_TYPE
,,,,,,,,0,"00000000","000000000000-0000",145,20,2
,,,,,,,,0,"00000000","000000000000-0000",146,2,2
,,,,,,,,0,"00000000","000000000000-0000",146,16,2
,,,,,,,,0,"00000000","000000000000-0000",146,20,2
,,,,,,,,0,"00000000","000000000000-0000",147,2,2
,,,,,,,,0,"00000000","000000000000-0000",147,16,2
,,,,,,,,0,"00000000","000000000000-0000",147,20,2
,,,,,,,,0,"00000000","000000000000-0000",148,2,2
,,,,,,,,0,"00000000","000000000000-0000",148,16,2
,,,,,,,,0,"00000000","000000000000-0000",148,20,2
,,,,,,,,0,"00000000","000000000000-0000",149,2,2
,,,,,,,,0,"00000000","000000000000-0000",149,16,2
,,,,,,,,0,"00000000","000000000000-0000",149,20,2
,,,,,,,,0,"00000000","000000000000-0000",150,2,2
,,,,,,,,0,"00000000","000000000000-0000",150,16,2
,,,,,,,,0,"00000000","000000000000-0000",150,20,2
,,,,,,,,0,"00000000","000000000000-0000",151,2,2
,,,,,,,,0,"00000000","000000000000-0000",151,16,2
,,,,,,,,0,"00000000","000000000000-0000",151,20,2
,,,,,,,,0,"00000000","000000000000-0000",152,2,2
,,,,,,,,0,"00000000","000000000000-0000",152,16,2
,,,,,,,,0,"00000000","000000000000-0000",152,20,2
,,,,,,,,0,"00000000","000000000000-0000",153,16,2
,,,,,,,,0,"00000000","000000000000-0000",153,20,2
,,,,,,,,0,"00000000","000000000000-0000",154,16,2
,,,,,,,,0,"00000000","000000000000-0000",154,20,2
,,,,,,,,0,"00000000","000000000000-0000",155,16,2
,,,,,,,,0,"00000000","000000000000-0000",155,20,2
,,,,,,,,0,"00000000","000000000000-0000",156,16,2
,,,,,,,,0,"00000000","000000000000-0000",156,20,2
,,,,,,,,0,"00000000","000000000000-0000",157,15,1
,,,,,,,,0,"00000000","000000000000-0000",157,16,2
,,,,,,,,0,"00000000","000000000000-0000",157,19,1
,,,,,,,,0,"00000000","000000000000-0000",157,20,2
,,,,,,,,0,"00000000","000000000000-0000",158,16,2
,,,,,,,,0,"00000000","000000000000-0000",158,20,2
,,,,,,,,0,"00000000","000000000000-0000",159,15,1
,,,,,,,,0,"00000000","000000000000-0000",159,16,2
,,,,,,,,0,"00000000","000000000000-0000",159,19,1
,,,,,,,,0,"00000000","000000000000-0000",159,20,2
,,,,,,,,0,"00000000","000000000000-0000",160,16,2
,,,,,,,,0,"00000000","000000000000-0000",160,20,2
,,,,,,,,0,"00000000","000000000000-0000",161,16,2
,,,,,,,,0,"00000000","000000000000-0000",161,20,2
,,,,,,,,0,"00000000","000000000000-0000",162,16,2
,,,,,,,,0,"00000000","000000000000-0000",162,20,2
,,,,,,,,0,"00000000","000000000000-0000",163,15,1
,,,,,,,,0,"00000000","000000000000-0000",163,16,2
,,,,,,,,0,"00000000","000000000000-0000",163,19,1
,,,,,,,,0,"00000000","000000000000-0000",163,20,2
,,,,,,,,0,"00000000","000000000000-0000",164,16,2
,,,,,,,,0,"00000000","000000000000-0000",164,20,2
,,,,,,,,0,"00000000","000000000000-0000",165,15,1
,,,,,,,,0,"00000000","000000000000-0000",165,16,2
